ID,Model Name,Link
52,MoritzLaurer/ernie-m-large-mnli-xnli,https://huggingface.co/MoritzLaurer/ernie-m-large-mnli-xnli
53,MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7
54,MoritzLaurer/multilingual-MiniLMv2-L12-mnli-xnli,https://huggingface.co/MoritzLaurer/multilingual-MiniLMv2-L12-mnli-xnli
55,MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli,https://huggingface.co/MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli
56,nguyendangsonlam/lsg-ner-vietnamese-electra-base-1024,https://huggingface.co/nguyendangsonlam/lsg-ner-vietnamese-electra-base-1024
57,NlpHUST/ner-vietnamese-electra-base,https://huggingface.co/NlpHUST/ner-vietnamese-electra-base
58,NlpHUST/vi-word-segmentation,https://huggingface.co/NlpHUST/vi-word-segmentation
59,Phi-3-mini-4k-instruct,https://huggingface.co/microsoft/phi-3-mini-4k-instruct
60,PhoBERT-base,https://huggingface.co/vinai/phobert-base
61,PhoBERT-base-v2,https://huggingface.co/vinai/phobert-base-v2
62,PhoGPT-4B,https://huggingface.co/vinai/PhoGPT-4B
63,princeton-nlp/simcse-roberta-large,https://huggingface.co/princeton-nlp/sup-simcse-roberta-large
64,Qwen-7B,https://huggingface.co/Qwen/Qwen-7B
65,Qwen/Qwen1.5-7B-Chat,https://huggingface.co/Qwen/Qwen1.5-7B-Chat
66,Qwen/Qwen2-7B,https://huggingface.co/Qwen/Qwen2-7B
67,Qwen/Qwen2.5-0.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct
68,Qwen/Qwen2.5-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct
69,Qwen/Qwen2.5-3B-Instruct,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct
70,Qwen/Qwen2.5-7B,https://huggingface.co/Qwen/Qwen2.5-7B
71,Qwen/Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct
72,Qwen/Qwen2.5-7B-Instruct-GPTQ-Int4,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-GPTQ-Int4
73,Qwen/Qwen3-0.6B,https://huggingface.co/Qwen/Qwen3-0.6B
74,Qwen/Qwen3-1.7B,https://huggingface.co/Qwen/Qwen3-1.7B
75,Qwen/Qwen3-4B,https://huggingface.co/Qwen/Qwen3-4B
76,Qwen/Qwen3-4B-Base,https://huggingface.co/Qwen/Qwen3-4B-Base
77,Qwen/Qwen3-4B-Instruct-2507,https://huggingface.co/Qwen/Qwen3-4B-Instruct-2507
78,Qwen/Qwen3-4B-Thinking-2507,https://huggingface.co/Qwen/Qwen3-4B-Thinking-2507
79,Qwen/Qwen3-Embedding-0.6B,https://huggingface.co/Qwen/Qwen3-0.6B
80,Qwen/Qwen3-Embedding-4B,https://huggingface.co/Qwen/Qwen3-Embedding-4B
81,Qwen/Qwen3-Reranker-0.6B,https://huggingface.co/Qwen/Qwen3-Reranker-0.6B
82,Qwen/Qwen3-Reranker-4B,https://huggingface.co/Qwen/Qwen3-Reranker-4B
83,readerbench/RoBERT-base,https://huggingface.co/readerbench/RoBERT-base
84,Sailor-0.5B,https://huggingface.co/sail/Sailor-0.5B
85,Sailor-1.8B,https://huggingface.co/sail/Sailor-1.8B
86,Sailor-4B,https://huggingface.co/sail/Sailor-4B
87,Sailor-7B,https://huggingface.co/sail/Sailor-7B
88,SeaLLMs-v3-1.5B,https://huggingface.co/SeaLLMs/SeaLLMs-v3-1.5B
89,SeaLLMs-v3-7B,https://huggingface.co/SeaLLMs/SeaLLMs-v3-7B
90,SeaLLMs/SeaLLMs-v3-7B-Chat,https://huggingface.co/SeaLLMs/SeaLLMs-v3-7B-Chat
91,segment-any-text (Tách câu),https://github.com/segment-any-text/wtpsplit
92,SemViQA/qatc-infoxlm-isedsc01,https://huggingface.co/SemViQA/qatc-infoxlm-isedsc01
93,SemViQA/qatc-infoxlm-viwikifc,https://huggingface.co/SemViQA/qatc-infoxlm-viwikifc
94,SemViQA/qatc-vimrc-isedsc01,https://huggingface.co/SemViQA/qatc-vimrc-isedsc01
95,SemViQA/qatc-vimrc-viwikifc,https://huggingface.co/SemViQA/qatc-vimrc-viwikifc
96,SemViQA/tc-erniem-viwikifc,https://huggingface.co/SemViQA/tc-erniem-viwikifc
97,SemViQA/tc-infoxlm-viwikifc,https://huggingface.co/SemViQA/tc-infoxlm-viwikifc
98,SemViQA/tc-xlmr-isedsc01,https://huggingface.co/SemViQA/tc-xlmr-isedsc01
99,sentence-transformers (repo),https://github.com/UKPLab/sentence-transformers
100,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2
101,timpal0l/mdeberta-v3-base-squad2,https://huggingface.co/timpal0l/mdeberta-v3-base-squad2
102,tuner007/pegasus_paraphrase,https://huggingface.co/tuner007/pegasus_paraphrase
103,Underthesea,https://github.com/undertheseanlp/underthesea
104,unsloth/Llama-3.2-3B,https://huggingface.co/unsloth/Llama-3.2-3B
105,unsloth/Llama-3.2-3B-Instruct,https://huggingface.co/unsloth/Llama-3.2-3B-Instruct
106,unsloth/Phi-3.5-mini-instruct,https://huggingface.co/unsloth/Phi-3.5-mini-instruct
107,unsloth/Qwen2.5-7B,https://huggingface.co/unsloth/Qwen2.5-7B
108,unsloth/Qwen2.5-7B-Instruct,https://huggingface.co/unsloth/Qwen2.5-7B-Instruct
109,unsloth/Qwen2.5-7B-Instruct-bnb-4bit,https://huggingface.co/unsloth/Qwen2.5-7B-Instruct-bnb-4bit
110,unsloth/Qwen2.5-Omni-7B,https://huggingface.co/unsloth/Qwen2.5-Omni-7B
111,unsloth/Qwen3-4B-Base,https://huggingface.co/unsloth/Qwen3-4B-Base
112,unsloth/Qwen3-4B-Instruct-2507-unsloth-bnb-4bit,https://huggingface.co/unsloth/Qwen3-4B-Instruct-2507-unsloth-bnb-4bit
113,unsloth/Qwen3-4B-Thinking-2507-unsloth-bnb-4bit,https://huggingface.co/unsloth/Qwen3-4B-Thinking-2507-bnb-4bit
114,unsloth/Qwen3-4B-unsloth-bnb-4bit,https://huggingface.co/unsloth/Qwen3-4B-unsloth-bnb-4bit
115,uonlp/Vistral-7B-Chat-gguf,https://huggingface.co/uonlp/Vistral-7B-Chat-gguf
116,ura-hcmut/GemSUra-2B,https://huggingface.co/ura-hcmut/GemSUra-2B
117,vicgalle/xlm-roberta-large-xnli-anli,https://huggingface.co/vicgalle/xlm-roberta-large-xnli-anli
118,ViDeBERTa-base,https://huggingface.co/Fsoft-AIC/videberta-base
119,Viet-Mistral/Vistral-7B-Chat,https://huggingface.co/Viet-Mistral/Vistral-7B-Chat
120,VietAI/envit5-translation,https://huggingface.co/VietAI/envit5-translation
121,VietAI/vit5-base,https://huggingface.co/VietAI/vit5-base
122,Vietnamese_Embedding,https://huggingface.co/AITeamVN/Vietnamese_Embedding
123,vietnamese-sentence-paraphase,https://github.com/nqchieutb01/vietnamese-sentence-paraphase
124,vilm/vinallama-2.7b-chat,https://huggingface.co/vilm/vinallama-2.7b-chat
125,vilm/vinallama-7b-chat,https://huggingface.co/vilm/vinallama-7b-chat
126,vinai/bartpho-word,https://huggingface.co/vinai/bartpho-word
127,vinai/phobert-base,https://huggingface.co/vinai/phobert-base
128,vinai/phobert-base-v2,https://huggingface.co/vinai/phobert-base-v2
129,vinai/phobert-large,https://huggingface.co/vinai/phobert-large
130,vinai/PhoGPT-4B-Chat,https://huggingface.co/vinai/PhoGPT-4B-Chat
131,vinai/vinai-translate-vi2en-v2,https://huggingface.co/vinai/vinai-translate-vi2en
132,vinallama-7b-chat,https://huggingface.co/vilm/vinallama-7b-chat
133,ViSoBERT,https://huggingface.co/uitnlp/visobert
134,Vistral-7B-Chat,https://huggingface.co/Viet-Mistral/Vistral-7B-Chat
135,xlm-roberta-large,https://huggingface.co/FacebookAI/xlm-roberta-large
136,ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,https://huggingface.co/ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli
